City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2021-04-09 20:41:16,22.8909,-109.9124,93.2,20,20,9.22
1,Mataura,NZ,2021-04-09 20:38:11,-46.1927,168.8643,46.99,91,100,1.01
2,Vila Velha,BR,2021-04-09 20:40:35,-20.3297,-40.2925,79.0,78,75,14.97
3,Puerto Ayora,EC,2021-04-09 20:41:16,-0.7393,-90.3518,80.6,78,75,3.44
4,Yellowknife,CA,2021-04-09 20:41:16,62.456,-114.3525,16.0,57,75,16.11
5,Jacareacanga,BR,2021-04-09 20:41:17,-6.2222,-57.7528,85.77,62,87,3.94
6,Vostok,RU,2021-04-09 20:41:17,46.4856,135.8833,21.15,78,77,5.17
7,Sao Bento,BR,2021-04-09 20:41:17,-6.2833,-37.75,79.29,52,100,5.97
8,Barrow,US,2021-04-09 20:41:17,71.2906,-156.7887,-13.0,70,1,12.66
9,East London,ZA,2021-04-09 20:37:55,-33.0153,27.9116,66.0,84,33,3.87
10,Aklavik,CA,2021-04-09 20:41:18,68.2191,-135.0107,-14.8,58,90,14.97
11,Acajutla,SV,2021-04-09 20:41:09,13.5928,-89.8275,93.2,36,20,3.44
12,Khatanga,RU,2021-04-09 20:41:18,71.9667,102.5,-15.48,89,29,4.38
13,Busselton,AU,2021-04-09 20:41:18,-33.65,115.3333,57.99,80,0,4.0
14,Vaini,TO,2021-04-09 20:41:18,-21.2,-175.2,77.0,78,40,4.61
15,Cidreira,BR,2021-04-09 20:41:19,-30.1811,-50.2056,75.13,76,61,9.15
16,Hilo,US,2021-04-09 20:40:15,19.7297,-155.09,77.0,53,1,6.91
17,Leningradskiy,RU,2021-04-09 20:40:36,69.3833,178.4167,-13.36,92,51,5.5
18,Sao Raimundo Das Mangabeiras,BR,2021-04-09 20:41:19,-7.0219,-45.4811,80.38,69,100,0.74
19,Hithadhoo,MV,2021-04-09 20:41:19,-0.6,73.0833,82.65,67,0,10.85
20,Bengkulu,ID,2021-04-09 20:37:03,-3.8004,102.2655,75.87,90,98,5.64
21,Iqaluit,CA,2021-04-09 20:40:57,63.7506,-68.5145,15.8,73,20,17.27
22,Rikitea,PF,2021-04-09 20:39:53,-23.1203,-134.9692,77.77,71,59,8.77
23,Bluff,NZ,2021-04-09 20:41:20,-46.6,168.3333,46.99,91,100,10.16
24,Namibe,AO,2021-04-09 20:41:20,-15.1961,12.1522,78.4,81,87,1.99
25,Albany,US,2021-04-09 20:41:20,42.6001,-73.9662,69.8,35,75,13.8
26,Hermanus,ZA,2021-04-09 20:40:26,-34.4187,19.2345,66.0,87,83,7.27
27,Mount Clemens,US,2021-04-09 20:41:20,42.5973,-82.878,72.0,52,75,18.41
28,Arraial Do Cabo,BR,2021-04-09 20:41:21,-22.9661,-42.0278,80.6,54,0,14.97
29,Manica,FR,2021-04-09 20:41:21,49.0,-1.1667,46.4,81,0,4.61
30,Girvan,GB,2021-04-09 20:41:21,55.2426,-4.8555,37.4,65,20,9.22
31,Kodiak,US,2021-04-09 20:41:21,57.79,-152.4072,30.2,29,1,25.32
32,Dingle,PH,2021-04-09 20:41:22,10.9995,122.6711,74.75,86,85,5.88
33,Dikson,RU,2021-04-09 20:41:22,73.5069,80.5464,20.28,89,100,27.02
34,Tiksi,RU,2021-04-09 20:38:19,71.6872,128.8694,-17.09,100,100,6.29
35,Bethel,US,2021-04-09 20:40:34,41.3712,-73.414,63.0,45,1,5.75
36,Marawi,PH,2021-04-09 20:41:22,7.9986,124.2928,77.0,86,99,4.0
37,Port Alfred,ZA,2021-04-09 20:38:01,-33.5906,26.891,63.19,85,56,2.64
38,Jamestown,US,2021-04-09 20:40:18,42.097,-79.2353,64.0,82,90,9.22
